596,"12/2/2021, 1:49:41 PM",1,"automovil",2718,242.81888891452277,"leftright_topbottom",29.292952585309955
600,"12/2/2021, 1:49:41 PM",2,"automovil",2718,238.2664808465837,"leftright_topbottom",34.16024520303575
636,"12/2/2021, 1:49:42 PM",1,"camion_unitario",2723,244.29004621918875,"leftright_topbottom",27.821795280644004
639,"12/2/2021, 1:49:42 PM",2,"camion_unitario",2723,232.46519085612144,"leftright_topbottom",39.96153519349804
650,"12/2/2021, 1:49:43 PM","1der","automovil",2729,318.33091738045005,"rightleft_bottomtop",56.26690720772022
652,"12/2/2021, 1:49:43 PM",1,"automovil",2725,228.81407483429035,"leftright_topbottom",43.29776666554238
653,"12/2/2021, 1:49:43 PM","2der","automovil",2729,303.84534026107167,"rightleft_bottomtop",40.21577264523265
655,"12/2/2021, 1:49:43 PM",2,"automovil",2725,224.683451952727,"leftright_topbottom",47.74327409689246
682,"12/2/2021, 1:49:43 PM",1,"automovil",2731,233.53076560994813,"leftright_topbottom",38.5810758898846
684,"12/2/2021, 1:49:43 PM",2,"automovil",2731,231.10277965365577,"leftright_topbottom",41.323946395963674
694,"12/2/2021, 1:49:44 PM",1,"automovil",2733,236.659292653523,"leftright_topbottom",35.452548846309746
697,"12/2/2021, 1:49:44 PM",2,"automovil",2733,232.90716270295846,"leftright_topbottom",39.519563346661
699,"12/2/2021, 1:49:44 PM",1,"automovil",2728,242.10272896905238,"leftright_topbottom",30.00911253078037
704,"12/2/2021, 1:49:44 PM",2,"automovil",2728,231.20344790169185,"leftright_topbottom",41.22327814792763
775,"12/2/2021, 1:49:45 PM",1,"automovil",2737,240.94539590092285,"leftright_topbottom",31.16644559890988
779,"12/2/2021, 1:49:46 PM",2,"automovil",2737,236.91514707126504,"leftright_topbottom",35.51157897835443
780,"12/2/2021, 1:49:46 PM","1der","tp_camion",2740,326.8643904512811,"rightleft_bottomtop",64.8003802785513
783,"12/2/2021, 1:49:46 PM","2der","tp_camion",2740,312.0891621738323,"rightleft_bottomtop",48.45959455799319
826,"12/2/2021, 1:49:47 PM","1der","van",2744,333.1942116702002,"rightleft_bottomtop",71.13020149747038
829,"12/2/2021, 1:49:47 PM","2der","van",2744,302.7352262721076,"rightleft_bottomtop",39.105658656268545
835,"12/2/2021, 1:49:47 PM",1,"automovil",2742,243.83843355798075,"leftright_topbottom",28.273407941851975
838,"12/2/2021, 1:49:47 PM",2,"automovil",2742,231.0724564072077,"leftright_topbottom",41.35426964241176
879,"12/2/2021, 1:49:48 PM","1der","automovil",2751,321.1027796536558,"rightleft_bottomtop",59.03876948092595
884,"12/2/2021, 1:49:48 PM","2der","automovil",2751,301.8907918018457,"rightleft_bottomtop",38.26122418600666
896,"12/2/2021, 1:49:48 PM","1der","camion_unitario",2753,331.504361381755,"rightleft_bottomtop",69.44035120902518
899,"12/2/2021, 1:49:48 PM","2der","camion_unitario",2753,308.02723071397355,"rightleft_bottomtop",44.39766309813448
924,"12/2/2021, 1:49:49 PM",1,"automovil",2752,244.17900802581073,"leftright_topbottom",27.932833474022022
929,"12/2/2021, 1:49:49 PM",2,"automovil",2752,238.73626830562256,"leftright_topbottom",33.69045774399688
949,"12/2/2021, 1:49:49 PM",1,"automovil",2757,230.01311375503582,"leftright_topbottom",42.09872774479694
952,"12/2/2021, 1:49:49 PM",2,"automovil",2757,226.25445162268153,"leftright_topbottom",46.172274426937925
954,"12/2/2021, 1:49:49 PM",1,"automovil",2756,242.10272896905238,"leftright_topbottom",30.00911253078037
959,"12/2/2021, 1:49:50 PM",2,"automovil",2756,227.8341110163065,"leftright_topbottom",44.59261503331295
1005,"12/2/2021, 1:49:51 PM","1der","pickup",2765,327.2647737278924,"rightleft_bottomtop",65.20076355516257
1008,"12/2/2021, 1:49:51 PM","2der","pickup",2765,299.7448812969422,"rightleft_bottomtop",36.115313681103174
1019,"12/2/2021, 1:49:51 PM","1der","automovil",2769,316.54815769897795,"rightleft_bottomtop",54.484147526248144
1021,"12/2/2021, 1:49:51 PM","2der","automovil",2769,316.4688007143858,"rightleft_bottomtop",52.83923309854677
1068,"12/2/2021, 1:49:52 PM",1,"camion_articulado_I",2766,243.01976928177714,"leftright_topbottom",29.092072218055588
1071,"12/2/2021, 1:49:52 PM",2,"camion_articulado_I",2766,194.5344550805401,"leftright_topbottom",77.89227096907935
1077,"12/2/2021, 1:49:52 PM","1der","automovil",2772,321.63251461513846,"rightleft_bottomtop",59.56850444240863
1081,"12/2/2021, 1:49:52 PM","2der","automovil",2772,302.0053832080835,"rightleft_bottomtop",38.37581559224444
1099,"12/2/2021, 1:49:53 PM","1der","automovil",2774,322.73359809902286,"rightleft_bottomtop",60.669587926293026
1103,"12/2/2021, 1:49:53 PM","2der","automovil",2774,300.65066795705286,"rightleft_bottomtop",37.02110034121382
1229,"12/2/2021, 1:49:56 PM",1,"motocicleta",2781,242.65012421993012,"leftright_topbottom",29.46171727990262
1235,"12/2/2021, 1:49:56 PM",2,"motocicleta",2781,239.42077312751098,"leftright_topbottom",33.00595292210848
1247,"12/2/2021, 1:49:56 PM","1der","automovil",2784,323.2099014383707,"rightleft_bottomtop",61.14589126564086
1251,"12/2/2021, 1:49:56 PM","2der","automovil",2784,304.1596945456694,"rightleft_bottomtop",40.53012692983038
1333,"12/2/2021, 1:49:58 PM",1,"automovil",2787,242.10272896905238,"leftright_topbottom",30.00911253078037
1338,"12/2/2021, 1:49:58 PM",2,"automovil",2787,236.12146019489035,"leftright_topbottom",36.30526585472911
1349,"12/2/2021, 1:49:58 PM","1der","automovil",2791,319.66187309523883,"rightleft_bottomtop",57.597862922508995
1352,"12/2/2021, 1:49:58 PM","2der","automovil",2791,302.9977051012163,"rightleft_bottomtop",39.36813748537724
1448,"12/2/2021, 1:50:01 PM",1,"automovil",2795,230.82634202955578,"leftright_topbottom",41.28549947027696
1451,"12/2/2021, 1:50:01 PM",1,"automovil",2796,239.62087398863167,"leftright_topbottom",32.49096751120108
1452,"12/2/2021, 1:50:01 PM",2,"automovil",2795,228.4238712449307,"leftright_topbottom",44.00285480468878
1456,"12/2/2021, 1:50:01 PM",2,"automovil",2796,236.08256946302964,"leftright_topbottom",36.34415658658981
1467,"12/2/2021, 1:50:01 PM","1der","automovil",2800,326.0295312239805,"rightleft_bottomtop",63.96552105125065
1469,"12/2/2021, 1:50:01 PM","2der","automovil",2800,310.71712153475386,"rightleft_bottomtop",47.087553918914814
1517,"12/2/2021, 1:50:02 PM","1der","automovil",2805,317.33730585912383,"rightleft_bottomtop",55.27329568639399
1519,"12/2/2021, 1:50:02 PM","1der","automovil",2806,326.8963580502674,"rightleft_bottomtop",64.83234787753759
1520,"12/2/2021, 1:50:02 PM","2der","automovil",2805,304.5085229876684,"rightleft_bottomtop",40.878955371829356
